Player,Model:,PB3,TVB,actual performance
Sam Surridge,,worse,worse,worse
Ken Sema,,worse,worse,worse
Xherdan Shaqiri,,better,better,better
Gabriel Teodoro Martinelli Silva,,better,worse,worse
James Tarkowski,,better,better,better
Tom Davies,,better,worse,worse
Kelechi Iheanacho,,worse,worse,worse
Davinson Sánchez,,better,better,worse
Pedro Obiang,,worse,worse,worse
Kyle Walker-Peters,,better,worse,worse
Chris Smalling,,worse,worse,worse
Sergio Agüero,,better,better,better
Chris Basham,,better,better,better
Matt Targett,,worse,worse,worse
Karl Darlow,,worse,worse,worse
Leander Dendoncker,,better,better,better
Aymeric Laporte,,better,better,worse
Manuel Lanzini,,better,better,better
Frédéric Guilbert,,better,better,better
Florian Lejeune,,worse,worse,worse
Enda Stevens,,better,better,better
Henrikh Mkhitaryan,,worse,better,better
Nick Pope,,better,better,better
Dale Stephens,,better,better,better
Jack Colback,,worse,worse,worse
Georginio Wijnaldum,,better,better,better
Danny Rose,,better,better,worse
Harry Wilson,,better,better,better
Yerry Mina,,better,better,better
Antonio Rüdiger,,worse,worse,worse
Bernard Anício Caldeira Duarte,,better,worse,better
Felipe Anderson Pereira Gomes,,better,better,better
Daniel James,,better,better,better
Adrian Mariappa,,worse,worse,worse
Jeffrey Schlupp,,better,better,better
Giovani Lo Celso,,better,better,better
Andy King,,worse,worse,worse
Aaron Mooy,,better,worse,worse
Ben Godfrey,,better,better,better
Mohamed Elyounoussi,,worse,worse,worse
Ashley Westwood,,better,better,better
Nacho Monreal,,better,worse,worse
Robbie Brady,,worse,worse,worse
Jean-Philippe Gbamin,,better,worse,worse
Robert Snodgrass,,better,better,worse
James Milner,,better,worse,worse
Willy Caballero,,worse,worse,worse
Andros Townsend,,better,better,better
Laurent Koscielny,,worse,worse,worse
Richard Stearman,,worse,worse,worse
Dejan Lovren,,worse,worse,worse
Rafael Camacho,,worse,worse,worse
Jack Grealish,,better,better,better
Dennis Praet,,better,worse,worse
Luke Freeman,,better,better,better
Mohamed Salah,,better,better,better
Edward Nketiah,,worse,worse,worse
Reiss Nelson,,better,worse,worse
Asmir Begovic,,worse,worse,worse
Joelinton Cássio Apolinário de Lira,,better,better,better
Mathew Ryan,,better,better,worse
Wesley Moraes,,better,better,better
Daniel Drinkwater,,worse,worse,worse
Benjamin Chilwell,,better,better,better
Erik Pieters,,better,better,better
Pablo Fornals,,better,worse,better
Douglas Luiz Soares de Paulo,,better,better,better
Anthony Knockaert,,worse,worse,worse
Nampalys Mendy,,better,worse,worse
Michael Keane,,better,better,better
Ivan Cavaleiro,,worse,worse,worse
Adam Lallana,,better,worse,worse
Phil Bardsley,,worse,worse,worse
Wilfred Ndidi,,better,better,better
Raúl Jiménez,,better,better,better
Carl Jenkinson,,worse,worse,worse
Axel Tuanzebe,,worse,worse,worse
Claudio Bravo,,worse,worse,worse
Marko Arnautovic,,worse,worse,worse
Christian Pulisic,,better,better,better
Eldin Jakupovic,,worse,worse,worse
Grant Hanley,,better,worse,worse
Mason Mount,,better,better,better
James Maddison,,better,better,better
Mamadou Sakho,,better,better,better
Lucas Rodrigues Moura da Silva,,better,worse,worse
Mark Duffy,,worse,worse,worse
Grady Diangana,,worse,worse,worse
Jan Bednarek,,better,better,better
Jeff Hendrick,,better,worse,worse
Charlie Taylor,,worse,worse,worse
Sam Gallagher,,worse,worse,worse
Daryl Janmaat,,better,better,better
Nathan Aké,,better,better,better
Maximillian Aarons,,better,better,worse
Charlie Daniels,,better,worse,worse
Alexander Tettey,,better,worse,worse
Jonjo Shelvey,,better,worse,worse
Simon Moore,,worse,worse,worse
Adam Webster,,better,better,worse
Mario Lemina,,worse,worse,worse
Ruben Loftus-Cheek,,worse,worse,worse
Stuart Armstrong,,worse,better,worse
Tyreke Johnson,,worse,worse,worse
Fabián Balbuena,,better,worse,worse
Pierre-Emile Højbjerg,,better,better,better
Simon Mignolet,,worse,worse,worse
Carlos Sánchez,,better,better,better
Sean Longstaff,,better,better,better
Vincent Janssen,,worse,worse,worse
André Filipe Tavares Gomes,,better,better,better
Diogo Jota,,better,better,better
Craig Dawson,,better,better,better
Ben Foster,,better,better,better
